Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
coucher,10.5,10.95,0.4499999999999993,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.5,142.95
te,10.4,10.5,0.09999999999999964,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.4,142.5
aller,10.3,10.4,0.09999999999999964,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.3,142.4
d,10.27,10.3,0.030000000000001137,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.27,142.3
avant,10.15,10.27,0.11999999999999922,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,142.15,142.27
soir,9.88,10.15,0.2699999999999996,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,141.88,142.15
le,9.85,9.88,0.030000000000001137,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,141.85,141.88
fasses,9.48,9.85,0.3699999999999992,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,141.48,141.85
tu,9.35,9.48,0.13000000000000078,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,141.35,141.48
que,9.22,9.35,0.129999999999999,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,141.22,141.35
bien,8.98,9.22,0.2400000000000002,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,140.98,141.22
serait,8.76,8.98,0.22000000000000064,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,140.76,140.98
qui,8.65,8.76,0.10999999999999943,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,140.65,140.76
qu'est-ce,8.46,8.65,0.1899999999999995,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,140.46,140.65
naan,6.68,7.7,1.0200000000000005,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,138.68,139.7
fasses,4.63,5.21,0.5800000000000001,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,136.63,137.21
tu,3.82,4.53,0.7100000000000004,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,135.82,136.53
que,3.26,3.66,0.40000000000000036,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,135.26,135.66
bien,0.97,1.44,0.47,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,132.97,133.44
serait,0.52,0.97,0.44999999999999996,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,132.52,132.97
qui,0.24,0.38,0.14,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,132.24,132.38
Qu'est-ce,0.01,0.16,0.15,9_Parent_CA-AN-ZN,Parent,CA-AN-ZN,132.01,132.16
veut,6.66,6.87,0.20999999999999996,9_Child_CA-RL-ML,Child,CA-RL-ML,94.66,94.87
on,6.58,6.66,0.08000000000000007,9_Child_CA-RL-ML,Child,CA-RL-ML,94.58,94.66
quand,6.35,6.58,0.23000000000000043,9_Child_CA-RL-ML,Child,CA-RL-ML,94.35,94.58
peu,6.25,6.35,0.09999999999999964,9_Child_CA-RL-ML,Child,CA-RL-ML,94.25,94.35
un,6.1,6.25,0.15000000000000036,9_Child_CA-RL-ML,Child,CA-RL-ML,94.1,94.25
servir,5.87,6.1,0.22999999999999954,9_Child_CA-RL-ML,Child,CA-RL-ML,93.87,94.1
