,Global_start,Speaker,Speech rate,Phases,Roles,Word,smoothed
0,23.896250000000002,Adult1,5.267050112908462,PREGAME,0,2,2.917203499127235
1,47.38,Adult2,6.451612903225833,GAME,SPEAKER1 ,12,2.4317744579127463
2,53.01,Adult1,0.6839945280437755,GAME,SPEAKER1 ,11,3.2658785339947385
3,48.07,Adult2,2.588235294117647,GAME,SPEAKER1 ,40,3.212747123869439
4,65.9,Adult1,0.5917159763313617,GAME,SPEAKER1 ,15,3.743309089550294
5,59.165,Adult2,3.3797383428379746,GAME,SPEAKER1 ,2,4.183620910277205
6,71.0,Adult1,14.285714285714228,GAME,SPEAKER1 ,6,4.808758100204779
7,71.06,Adult2,7.555555555555555,GAME,SPEAKER1 ,4,4.893022619678918
8,74.26,Adult1,5.42635658914729,GAME,SPEAKER1 ,2,4.938459786326697
9,76.87,Adult2,1.9108280254777084,GAME,SPEAKER1 ,8,5.209072002394967
10,82.0,Adult1,3.138075313807531,GAME,SPEAKER1 ,4,4.8700278616366015
11,88.0,Adult2,7.028753993610234,GAME,SPEAKER1 ,11,4.8105131612958
12,91.16,Adult1,4.2968749999999964,GAME,SPEAKER1 ,14,5.694929370532628
13,94.63,Adult2,8.737864077669894,GAME,SPEAKER1 ,3,4.951380476516661
14,107.0,Adult1,9.58904109589036,GAME,SPEAKER1 ,2,6.36992389168099
15,100.98,Adult2,6.384615384615419,GAME,SPEAKER1 ,11,5.106899745613094
16,121.44,Adult1,1.167315175097273,GAME,SPEAKER1 ,8,5.5391234864125085
17,109.39,Adult2,2.844444444444445,GAME,SPEAKER1 ,12,4.787540092920109
18,130.0,Adult1,4.651162790697601,GAME,SPEAKER1 ,14,5.881821454048627
19,125.16,Adult2,2.864583333333331,GAME,SPEAKER1 ,16,5.686336978978126
20,139.31,Adult1,8.10810810810801,GAME,SPEAKER1 ,9,5.86759457971624
21,134.6,Adult2,3.856041131105384,GAME,SPEAKER1 ,5,5.68016209931349
22,144.5,Adult1,6.666666666666624,GAME,SPEAKER1 ,6,6.394892156548394
23,141.04,Adult2,4.779411764705884,GAME,SPEAKER1 ,12,5.086517393838506
24,156.19,Adult1,6.808510638297888,GAME,SPEAKER1 ,2,6.363034877160043
25,149.18666666666667,Adult2,4.6813186813186825,GAME,SPEAKER1 ,23,4.822608346910588
26,160.24,Adult1,8.510638297872362,GAME,SPEAKER1 ,3,6.501070808173331
27,159.42,Adult2,9.999999999999858,GAME,SPEAKER1 ,8,4.5594690171045915
28,167.42,Adult1,3.0100334448160444,GAME,SPEAKER1 ,3,6.51975017681068
29,163.18,Adult2,6.973180076628509,GAME,SPEAKER1 ,11,4.960136228433571
30,176.16,Adult1,9.042553191489384,GAME,SPEAKER1 ,5,6.0214257654428
31,171.63,Adult2,3.3950617283950524,GAME,SPEAKER1 ,10,4.8094649916440835
32,184.92,Adult1,9.302325581395202,GAME,SPEAKER1 ,5,5.850485594502653
33,179.85,Adult2,4.009433962264143,GAME,SPEAKER1 ,5,4.647977394655975
34,190.85,Adult1,2.409638554216864,GAME,SPEAKER1 ,2,5.923171808821145
35,186.45,Adult2,0.4761904761904743,GAME,SPEAKER1 ,3,5.217155493245796
36,195.27,Adult1,4.819277108433745,GAME,SPEAKER1 ,12,5.227875330316348
37,198.59,Adult2,6.470588235294161,GAME,SPEAKER1 ,2,4.400201354992035
38,202.2,Adult1,3.623188405797076,GAME,SPEAKER1 ,2,5.488626329407704
39,206.2,Adult2,2.4999999999999942,GAME,SPEAKER1 ,5,4.419054362350764
40,216.55,Adult1,5.128205128205307,GAME,SPEAKER1 ,7,5.208535878179417
41,212.555,Adult2,3.326023391812898,GAME,SPEAKER1 ,6,4.835476075068851
42,218.33,Adult1,7.462686567164319,GAME,SPEAKER2 ,11,4.4576142925971265
43,217.45,Adult2,9.80392156862708,GAME,SPEAKER2 ,12,5.186219387984128
44,224.765,Adult1,2.252969991329182,GAME,SPEAKER2 ,12,4.787626323844474
45,240.0,Adult2,2.647412755716004,GAME,SPEAKER2 ,7,5.675314755128318
46,267.8225,Adult1,5.35679243663825,GAME,SPEAKER2 ,2,4.852751690174651
47,284.7,Adult2,7.142857142857065,GAME,SPEAKER2 ,10,5.132727349795809
48,288.24,Adult1,6.5217391304348045,GAME,SPEAKER2 ,6,4.980618372993535
