UtteranceName,Filename,Global_end,Global_start,Length,Speaker,Word,syllables,Speech rate
79_Adult2_AA-BO-CM,AA-BO-CM,885.72,842.24,12.350000000000003,Adult2,16,26,0.5979760809567615
202_Adult1_AA-BO-CM,AA-BO-CM,880.79,873.0,0.7900000000000001,Adult1,3,3,0.38510911424903904
203_Adult1_AA-BO-CM,AA-BO-CM,893.08,885.69,1.8100000000000005,Adult1,5,6,0.8119079837618418
80_Adult2_AA-BO-CM,AA-BO-CM,894.16,889.34,2.7600000000000002,Adult2,9,16,3.3195020746888404
204_Adult1_AA-BO-CM,AA-BO-CM,896.19,895.54,0.6499999999999998,Adult1,4,5,7.692307692306616
81_Adult2_AA-BO-CM,AA-BO-CM,899.58,897.03,2.2199999999999998,Adult2,7,13,5.098039215686138
82_Adult2_AA-BO-CM,AA-BO-CM,900.75,900.0,0.6799999999999999,Adult2,3,4,5.333333333333333
83_Adult2_AA-BO-CM,AA-BO-CM,922.16,903.04,5.279999999999999,Adult2,19,23,1.2029288702928866
207_Adult1_AA-BO-CM,AA-BO-CM,928.73,912.05,4.950000000000003,Adult1,5,6,0.359712230215826
84_Adult2_AA-BO-CM,AA-BO-CM,933.97,931.0,2.4400000000000004,Adult2,10,13,4.377104377104337
85_Adult2_AA-BO-CM,AA-BO-CM,937.77,936.08,0.6199999999999997,Adult2,3,3,1.775147928994145
88_Adult2_AA-BO-CM,AA-BO-CM,959.85,946.28,4.330000000000002,Adult2,16,19,1.400147383935146
212_Adult1_AA-BO-CM,AA-BO-CM,958.44,955.5,2.589999999999999,Adult1,12,16,5.442176870748198
89_Adult2_AA-BO-CM,AA-BO-CM,969.24,960.15,3.0499999999999985,Adult2,10,15,1.6501650165016444
214_Adult1_AA-BO-CM,AA-BO-CM,974.59,974.01,0.5799999999999998,Adult1,3,3,5.172413793103083
92_Adult2_AA-BO-CM,AA-BO-CM,1001.26,978.08,5.790000000000003,Adult2,8,9,0.38826574633304656
217_Adult1_AA-BO-CM,AA-BO-CM,1004.04,1002.0,1.7799999999999998,Adult1,6,7,3.431372549019669
