UtteranceName,Speaker,Filename,Global_end,Global_start,Length,Speaker,UtteranceName,Word,syllables,Speech rate
23_Parent_CA-BO-IO,Parent,['CA-BO-IO'],345.96,344.19,1.77,['Parent'],['23_Parent_CA-BO-IO'],5,6,3.389830508474611
142_Child_CA-BO-IO,Child,['CA-BO-IO'],352.79,346.65,2.9700000000000006,['Child'],['142_Child_CA-BO-IO'],6,7,1.1400651465797966
143_Child_CA-BO-IO,Child,['CA-BO-IO'],366.0,357.41,2.5100000000000007,['Child'],['143_Child_CA-BO-IO'],5,8,0.9313154831199095
25_Parent_CA-BO-IO,Parent,['CA-BO-IO'],365.73,360.25,2.79,['Parent'],['25_Parent_CA-BO-IO'],8,11,2.007299270072986
26_Parent_CA-BO-IO,Parent,['CA-BO-IO'],370.56,367.26,2.36,['Parent'],['26_Parent_CA-BO-IO'],7,8,2.424242424242416
145_Child_CA-BO-IO,Child,['CA-BO-IO'],380.65,373.59,2.450000000000001,['Child'],['145_Child_CA-BO-IO'],6,9,1.2747875354107645
27_Parent_CA-BO-IO,Parent,['CA-BO-IO'],381.09,379.59,1.4499999999999997,['Parent'],['27_Parent_CA-BO-IO'],5,6,4.0
28_Parent_CA-BO-IO,Parent,['CA-BO-IO'],385.7,384.54,1.1099999999999999,['Parent'],['28_Parent_CA-BO-IO'],4,5,4.310344827586325
147_Child_CA-BO-IO,Child,['CA-BO-IO'],390.63,389.12,1.5099999999999998,['Child'],['147_Child_CA-BO-IO'],4,6,3.9735099337748583
29_Parent_CA-BO-IO,Parent,['CA-BO-IO'],393.0,391.67,1.16,['Parent'],['29_Parent_CA-BO-IO'],3,5,3.7593984962406464
148_Child_CA-BO-IO,Child,['CA-BO-IO'],393.0,392.86,0.1399999999999999,['Child'],['148_Child_CA-BO-IO'],2,3,21.428571428573516
149_Child_CA-BO-IO,Child,['CA-BO-IO'],399.05,393.0,3.9499999999999993,['Child'],['149_Child_CA-BO-IO'],6,9,1.4876033057851212
31_Parent_CA-BO-IO,Parent,['CA-BO-IO'],404.34,398.32,1.2199999999999995,['Parent'],['31_Parent_CA-BO-IO'],3,3,0.4983388704318952
32_Parent_CA-BO-IO,Parent,['CA-BO-IO'],412.5,406.0,3.8099999999999996,['Parent'],['32_Parent_CA-BO-IO'],10,17,2.6153846153846154
151_Child_CA-BO-IO,Child,['CA-BO-IO'],430.32,414.12,5.199999999999999,['Child'],['151_Child_CA-BO-IO'],15,22,1.3580246913580256
33_Parent_CA-BO-IO,Parent,['CA-BO-IO'],431.46,425.4,3.1299999999999994,['Parent'],['33_Parent_CA-BO-IO'],11,15,2.4752475247524743
152_Child_CA-BO-IO,Child,['CA-BO-IO'],436.23,433.5,1.57,['Child'],['152_Child_CA-BO-IO'],4,7,2.564102564102547
35_Parent_CA-BO-IO,Parent,['CA-BO-IO'],440.06,439.11,0.83,['Parent'],['35_Parent_CA-BO-IO'],2,2,2.105263157894762
36_Parent_CA-BO-IO,Parent,['CA-BO-IO'],445.47,444.25,1.16,['Parent'],['36_Parent_CA-BO-IO'],3,6,4.918032786885136
154_Child_CA-BO-IO,Child,['CA-BO-IO'],452.1,445.0,1.3299999999999996,['Child'],['154_Child_CA-BO-IO'],3,6,0.8450704225352086
37_Parent_CA-BO-IO,Parent,['CA-BO-IO'],467.0,447.15,2.2000000000000006,['Parent'],['37_Parent_CA-BO-IO'],4,4,0.20151133501259422
155_Child_CA-BO-IO,Child,['CA-BO-IO'],467.83,457.15,5.45,['Child'],['155_Child_CA-BO-IO'],11,18,1.6853932584269653
38_Parent_CA-BO-IO,Parent,['CA-BO-IO'],479.0,467.15,5.8599999999999985,['Parent'],['38_Parent_CA-BO-IO'],19,39,3.2911392405063227
156_Child_CA-BO-IO,Child,['CA-BO-IO'],475.21,473.54,0.5699999999999998,['Child'],['156_Child_CA-BO-IO'],2,3,1.7964071856287864
39_Parent_CA-BO-IO,Parent,['CA-BO-IO'],483.0,479.0,1.9699999999999998,['Parent'],['39_Parent_CA-BO-IO'],9,13,3.25
157_Child_CA-BO-IO,Child,['CA-BO-IO'],482.24,481.15,1.0899999999999999,['Child'],['157_Child_CA-BO-IO'],3,5,4.587155963302618
40_Parent_CA-BO-IO,Parent,['CA-BO-IO'],488.74,483.04,4.609999999999999,['Parent'],['40_Parent_CA-BO-IO'],15,28,4.912280701754396
41_Parent_CA-BO-IO,Parent,['CA-BO-IO'],493.34,491.04,1.4299999999999997,['Parent'],['41_Parent_CA-BO-IO'],7,17,7.3913043478262335
159_Child_CA-BO-IO,Child,['CA-BO-IO'],494.97,493.16,1.81,['Child'],['159_Child_CA-BO-IO'],3,5,2.762430939226516
42_Parent_CA-BO-IO,Parent,['CA-BO-IO'],497.01,496.08,0.8799999999999998,['Parent'],['42_Parent_CA-BO-IO'],5,7,7.526881720430052
160_Child_CA-BO-IO,Child,['CA-BO-IO'],502.94,497.01,2.57,['Child'],['160_Child_CA-BO-IO'],8,8,1.3490725126475533
43_Parent_CA-BO-IO,Parent,['CA-BO-IO'],503.55,502.74,0.8099999999999999,['Parent'],['43_Parent_CA-BO-IO'],4,5,6.1728395061728225
